,0,1,2
0,1. Golden Temple,Gurudwara,1
1,2. Gurudwara Chheharta Sahib,Gurudwara,2
2,3. Akal Takht,Gurudwara,3
3,4. Gurudwara Mata Kaulan,Gurudwara,4
4,5. Gurudwara Bibeksar Sahib,Gurudwara,5
5,6. Gurudwara Bir Baba Budha Sahib,Gurudwara,6
6,7. Tarn Taran Sahib,Gurudwara,7
7,8. Gurudwara Baba Atal Rai,Gurudwara,8
8,9. Gurudwara Baba Deep Singh Ji,Gurudwara,9
9,10. Gurudwara Goindwal Sahib,Gurudwara,10
10,1. Dukh Bhanjani Ber Tree,Historical Site,1
11,2. Goindwal Baoli,Historical Site,2
12,3. Khalsa College,Historical Site,3
13,4. Pul Kanjari,Historical Site,4
14,1. Mata Lal Devi Temple,Temple,1
15,2. Durgiana Temple,Temple,2
16,3. Shri Ram Tirth Temple,Temple,3
17,4. ISKCON Temple,Temple,4
18,1. Sun City,Amusement & Theme Park,1
19,2. Rainbow Resorts Water Park,Amusement & Theme Park,2
20,3. Thunderzone Amusement and Water Park,Amusement & Theme Park,3
21,4. Bliss Aqua World,Amusement & Theme Park,4
22,1. Guru Ke Mahal,Forts & Palaces,1
23,2. Gobindgarh Fort,Forts & Palaces,2
24,3. Bathinda Fort,Forts & Palaces,3
25,1. Partition Museum,Museum,1
26,2. Maharaja Ranjit Singh Museum,Museum,2
27,3. Punjab State War Heroes Memorial and Museum,Museum,3
28,1. Khair-ud-Din Masjid,Mosque,1
29,1. Jallianwala Bagh,Garden & Park,1
30,1. Street Food,Select,1
31,1. Wagah Border,Shows & Theatres,1
32,1. Hall Bazaar Amritsar,Shopping,1
33,1. Harike Wetland,Bird Sanctuary,1
